id,codigo,nome_empresa,cidade,bairro,estado,texto,telefones,atividades
214301,16935,Louise Magna Gomes GalvÃ£o,Natal,Lagoa Seca,RN,"<p>Gomes Comercial de Bebidas &nbsp;distribuidor de bebida agua mineral disk agua mineral disk agua mineral natal agua mineral em domicilio disk gas de cozinha gas de cozinha em domicilio entrega de gas de cozinha distribuidor de gas de cozinha distribuidor de agua mineral distribuidora de bebidas na zona norte gelo gelo em domicilio entrega de gelo revendedor brasil gas agua mineral com gas entrega de refrigerante entrega de agua mineral cachaca cerveja cerveja gelada cerveja nacional cerveja importada carvao carvao em domicilio vinho vinho em domicilio bebidas destiladas Rua Alberto Silva Lagoa Seca Natal RN</p>
",(84)32133584,"Bebida, Bebidas"
214659,17283,Monobloco ReparaÃ§Ã£o e ManutenÃ§Ã£o de Veiculos Automotivos - Me,Natal,Alecrim,RN,"<p>Balanceamento de eixo ,Servi&ccedil;o de cambagem ,Servi&ccedil;o de caster e converg&ecirc;ncia ,Servi&ccedil;o de chassi e agregado ,Servi&ccedil;o de monobloco ,Servi&ccedil;o de alinhamento t&eacute;cnico ,Servi&ccedil;o de alinhamento e balanceamento ,Servi&ccedil;o de desempeno ,Servi&ccedil;o de desempeno de eixos traseiros ,Servi&ccedil;o de embuchamento ,Servi&ccedil;o de suspens&atilde;o.</p>
",(84)3201-1880,Oficina
214795,17417,Pedro Paulo Silva Belarmino,Natal,Cidade Nova,RN,"<p><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;""><font style=""vertical-align: inherit;"">Entrega em domic&iacute;lio e n&atilde;o cobramos taxas de entrega dependendo da localidade. Empresa com 4 anos de tradi&ccedil;&atilde;o Forma de pagamento: dinheiro</font></font></font></font></p>
",(84)36051769,"Delivery, Entrega em domicÃ­lio"
214894,17512,W M A GALVÃO,Natal,Bom Pastor,RN,"<p>Distribuidor de G&aacute;s.</p>

<p>Milena G&aacute;s Liquig&aacute;s distribuidor de g&aacute;s de cozinha g&aacute;s de cozinha g&aacute;s em domic&iacute;lio DISTRIBUIDOR DE &nbsp;DISK GAS DE COZINHA ENTREGA DE GAS DE COZINHA DELIVERY ENTREGA EM DOMICILIO DISK ENTREGA REVENDEDOR LIQUIGAS GAS DE COZINHA LIQUIGAS delivery disk disque entrega domic&iacute;lio pre&ccedil;o do g&aacute;s de cozinha valor do g&aacute;s de cozinha Rua Henrique Dias Bom Pastor Natal RN</p>
",(84)0800-280-2157,"Delivery, Entrega em domicÃ­lio"
215013,17627,VENEZA AUTO PEÃAS E SERVIÃOS LTDA,Natal,NazarÃ©,RN,"<p>Servi&ccedil;os de motores (montagem e desmontagem), caixa de marcha, diferenciais (veiculos 4x4) suspens&atilde;o, freios, embreagem, troca de &oacute;leo, pe&ccedil;as de reposi&ccedil;&atilde;o, caixa de dire&ccedil;&atilde;o. ve&iacute;culos importados.</p>

<p>Automotiva Import pe&ccedil;as para veiculos importados CAIXA DE MARCHA RECONDICIONA Troca de &Oacute;leo SERVI&Ccedil;O DE SUSPENS&Atilde;O CONSERTO DE FREIO CONSERTO DE EMBREAGEM PE&Ccedil;A MOTOR CONSERTO DE CAIXA DE MARCHA Pe&ccedil;as Nissan Pe&ccedil;as Honda Pe&ccedil;as Toyota PE&Ccedil;A PARA CARRO AUTOM&Oacute;VEL VE&Iacute;CULO IMPORTADO PE&Ccedil;AS IMPORTADAS Pe&ccedil;as Hyundai Pe&ccedil;as Mitsubishi AUTO PE&Ccedil;AS SERVI&Ccedil;O DE C&Acirc;MBIO AUTOM&Aacute;TICO Oficina de Caixa de Marcha Avenida Coronel Estevam Nossa Senhora de Nazar&eacute; Natal RN</p>
",(84)36054222,"Auto peÃ§as, Oficina, Vendas de peÃ§as"
215726,18307,CENTER CAR PARNAMIRIM LTDA ME,Parnamirim,Rosa dos Ventos,RN,"<p>Alinhamento, balanceamento, cambagem, troca de &oacute;leo, supens&atilde;o e freio, inje&ccedil;&atilde;o eletr&ocirc;nica, servi&ccedil;o de motores (alcool, disiel, gasolina), auto pe&ccedil;as, descarboniza&ccedil;&atilde;o de motores, eletrica em geral, baterias.</p>

<p>Centercar Center Car Parnamirim SERVI&Ccedil;O DE ALINHAMENTO E BALANCEAMENTO SERVI&Ccedil;O DE CAMBAGEM Troca de &Oacute;leo CONSERTO DE FREIO SERVI&Ccedil;O DE SUSPENS&Atilde;O INJE&Ccedil;&Atilde;O ELETR&Ocirc;NICA SERVI&Ccedil;O DE MOTOR AUTO PE&Ccedil;AS BATERIA OFICINA E SERVI&Ccedil;O Oficina para Ve&iacute;culo &agrave; Diesel Oficina SERVI&Ccedil;O MEC&Acirc;NICO EM GERAL AUTO EL&Eacute;TRICA Rua Castro Alves Rosa dos Ventos Parnamirim RN</p>
","(84)3272-6309,(84)8899-6309,(84)9124-3699","Auto peÃ§as, Oficina, Vendas de peÃ§as"
215779,18358,FRANCISCA UBIRANEIDE DA SILVA SALDANHA ME,Natal,Capim Macio,RN,"<p>Revistaria e Tabacaria Ponta Negra tabaco tabacaria charuto revista revistaria jornais jornal livros loja de conveni&ecirc;ncia recarga cr&eacute;dito para celular celulares onde encontrar charuto onde encontrar tabacaria quero comprar charuto fumo para cachimbo fumo para cigarro charutos importados revistas Conde Nast Traveller Magazine GQ Magazine Harpers Bazaar Magazine Vogue Magazine Tattler Magazine World of Interiors National Geographic Boat International Time Magazine Economist Magazine Business Week Veja Magazine Claudia Magazine Epoca Magazine Exame Magazine BEBIDA CACHA&Ccedil;A Narguil&eacute; CHARUTO LIVRO CACHIMBO zona sul de Natal Ponta Negra Natal RN</p>
",(84)3642-1025,"Bebida, Bebidas"
216522,19098,M A S BARICHELLO,Natal,Capim Macio,RN,"<p><span style=""font-size:12px;"">&nbsp;O&nbsp;<strong>Spazzio Beleza &amp; Est&eacute;tica</strong>&nbsp;&eacute; mais do que um espa&ccedil;o de cuidado pessoal; &eacute; um santu&aacute;rio onde a beleza encontra seu verdadeiro significado. Com uma equipe de profissionais apaixonados e <strong>experientes</strong>, estamos dedicados a<strong> real&ccedil;ar sua beleza</strong> natural e elevar sua confian&ccedil;a a novos patamares.<br />
Nossos servi&ccedil;os abrangem desde<strong> cortes</strong>&nbsp;e<strong> colora&ccedil;&otilde;es</strong> de cabelo at&eacute; tratamentos <strong>faciais</strong> e<strong> corporais</strong>. Utilizando produtos de alta qualidade e t&eacute;cnicas inovadoras, garantimos resultados excepcionais que superam suas expectativas.</span></p>

<p><br />
<span style=""font-size:12px;"">Localizado&nbsp;em<strong> Capim Macio</strong>,<strong> Natal</strong>, o&nbsp;<strong>Spazzio Beleza &amp; Est&eacute;tica</strong>, n&atilde;o se trata apenas de transformar sua apar&ecirc;ncia exterior, mas tamb&eacute;m de nutrir sua beleza interior. Acreditamos que cada pessoa &eacute; &uacute;nica e merece ser celebrada em toda a sua singularidade.&nbsp;Venha nos visitar e descubra o <strong>poder transformador</strong> da verdadeira beleza. Em&nbsp;nosso sal&atilde;o, sua jornada de autodescoberta e confian&ccedil;a espera por voc&ecirc;.</span></p>
",(84)32175246,SalÃ£o de beleza
216606,19185,Raio Baterias LTDA ME,Natal,Lagoa Nova,RN,"<p>Raio Bat loja de Instala&ccedil;&atilde;o venda de baterias de carro loja revenda revendedor de baterias Moura Zetta Zeta para carro nacional nacionais importados bateiras heliar para moto para caminh&otilde;es para vans para alternativos para jet ski para quadriciclo bateria em domic&iacute;lio bateria moura ve&iacute;culos auto pe&ccedil;as bateria BATERIA EM DOMIC&Iacute;LIO ENTREGA EM DOMIC&Iacute;LIO BATERIA ZETTA REVENDEDOR DE BATERIA BATERIA AUTOMOTIVA BATERIA DE CARRO BATERIA PARA CARRO PEQUENO PORTE DELIVERY DE BATERIA AUTOMOTIVA ENTREGA DE BATERIA AUTOMOTIVA DELIVERY DISK ENTREGA TROCA DE BATERIA TROCA DE BATERIA AUTOMOTIVA TROCA DE BATERIA RAPIDA VENDA DE BATERIA AUTOMOTIVA Avenida Bernardo Vieira Lagoa Nova Natal RN</p>
",(84)32233454,"Entrega em domicÃ­lio, Delivery"
216713,19290,Simone Martins de Lemos EIRELI,Parnamirim,Centro,RN,"<p>TRABALHA COM PNEU, PNEU MULTIMARCAS, PNEUS NOVOS E USADOS, RODA DE LIGALEVE, ALINHAMENTO, BALANCEAMENTO, CAMBAGEM, TROCA DE &Oacute;LEO E BATERIA.</p>
",(84)3272-7225,"Auto peÃ§as, Oficina"
